Estado;Tipo de crimen;Ocurrencias;Fecha
Bahia;Violación;243;01/02/2022
Bahia;Hurto en el vehículo;437;01/02/2022
Bahia;Homicidio doloso;387;01/02/2022
Bahia;Lesiones corporales seguidas de muerte;4;01/02/2022
Bahia;Robo a entidad financiera;3;01/02/2022
Bahia;Robo de mercancía;34;01/02/2022
Bahia;Robo de vehiculo;954;01/02/2022
Bahia;Robo seguido de muerte;8;01/02/2022
Bahia;Tentativa de homicidio;140;01/02/2022
Bahia;Violación;276;01/03/2022
Bahia;Hurto en el vehículo;535;01/03/2022
Bahia;Homicidio doloso;454;01/03/2022
Bahia;Lesiones corporales seguidas de muerte;5;01/03/2022
Bahia;Robo a entidad financiera;0;01/03/2022
Bahia;Robo de mercancía;28;01/03/2022
Bahia;Robo de vehiculo;1100;01/03/2022
Bahia;Robo seguido de muerte;5;01/03/2022
Bahia;Tentativa de homicidio;171;01/03/2022
Bahia;Violación;311;01/04/2022
Bahia;Hurto en el vehículo;550;01/04/2022
Bahia;Homicidio doloso;403;01/04/2022
Bahia;Lesiones corporales seguidas de muerte;5;01/04/2022
Bahia;Robo a entidad financiera;0;01/04/2022
Bahia;Robo de mercancía;17;01/04/2022
Bahia;Robo de vehiculo;948;01/04/2022
Bahia;Robo seguido de muerte;8;01/04/2022
Bahia;Tentativa de homicidio;159;01/04/2022
Bahia;Violación;342;01/05/2022
Bahia;Hurto en el vehículo;558;01/05/2022
Bahia;Homicidio doloso;412;01/05/2022
Bahia;Lesiones corporales seguidas de muerte;4;01/05/2022
Bahia;Robo a entidad financiera;0;01/05/2022
Bahia;Robo de mercancía;28;01/05/2022
Bahia;Robo de vehiculo;986;01/05/2022
Bahia;Robo seguido de muerte;5;01/05/2022
Bahia;Tentativa de homicidio;163;01/05/2022
Bahia;Violación;321;01/06/2022
Bahia;Hurto en el vehículo;614;01/06/2022
Bahia;Homicidio doloso;362;01/06/2022
Bahia;Lesiones corporales seguidas de muerte;10;01/06/2022
Bahia;Robo a entidad financiera;0;01/06/2022
Bahia;Robo de mercancía;16;01/06/2022
Bahia;Robo de vehiculo;1032;01/06/2022
Bahia;Robo seguido de muerte;12;01/06/2022
Bahia;Tentativa de homicidio;211;01/06/2022
Bahia;Violación;332;01/07/2022
Bahia;Hurto en el vehículo;653;01/07/2022
Bahia;Homicidio doloso;376;01/07/2022
Bahia;Lesiones corporales seguidas de muerte;1;01/07/2022
Bahia;Robo a entidad financiera;0;01/07/2022
Bahia;Robo de mercancía;30;01/07/2022
Bahia;Robo de vehiculo;1034;01/07/2022
Bahia;Robo seguido de muerte;5;01/07/2022
Bahia;Tentativa de homicidio;177;01/07/2022
Bahia;Violación;352;01/08/2022
Bahia;Hurto en el vehículo;577;01/08/2022
Bahia;Homicidio doloso;350;01/08/2022
Bahia;Lesiones corporales seguidas de muerte;6;01/08/2022
Bahia;Robo a entidad financiera;0;01/08/2022
